"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"ORZ_STR_MENU_CREDITS","Credits","Credits","Kredity","Credits","Кредиты","Kredyty","Kreditek","Crediti","Créditos","Crédits","Credits","Credits","Créditos","Credits",
"ORZ_STR_MENU_EXIT","Exit","Exit","Konec","Beenden","Выход","Wyjście","Kilépés","Uscita","Salir","Quitter","Exit","Exit","Sair","Exit",
"ORZ_STR_MENU_OPTIONS","Options","Options","Nastavení","Optionen","Настройки","Opcje","Beállítások","Opzioni","Opciones","Options","Options","Options","Opções","Options",
"ORZ_STR_MENU_PLAY","Play","Play","Hrát","Spielen","Играть","Graj","Játék","Gioca","Jugar","Jouer","Play","Play","Jogar","Play",
"ORZ_STR_MENU_TUTORIAL","Tutorial","Tutorial","Návod","Tutorial","Обучение","Samouczek","Útmutató","Tutorial","Tutorial","Tutoriel","Tutorial","Tutorial","Tutorial","Tutorial",
"ORZ_STR_MENU_TORNESE_VIP","Tornese VIP","Become VIP","VIP","VIP","VIP","VIP","VIP","VIP","VIP","VIP","VIP","VIP","VIP","VIP",
"ORZ_STR_MENU_WEBSITE","Website","Website","Web","Website","Веб-сайт","Strona","Weboldal","Sito web","Sitio web","Site web","Website","Website","Website","Website",
"ORZ_STR_MENU_WELLCOME_BACK","Welcome back","Welcome back","Vítejte zpět","Willkommen zurück","Добро пожаловать","Witaj z powrotem","Üdvözöljük","Benvenuto","Bienvenido","Bienvenue","Welcome back","Welcome back","Bem-vindo de volta","Welcome back",
"ORZ_STR_MENU_PLAYERS_KILLED","Players killed","Players killed","Zabito hráčů","Spieler getötet","Игроков убито","Zabito graczy","Játékosok megölve","Giocatori uccisi","Jugadores asesinados","Joueurs tués","Players killed","Players killed","Jogadores mortos","Players killed",
"ORZ_STR_MENU_INFECTEDS_KILLED","Infecteds killed","Infecteds killed","Zabito infikovaných","Infizierte getötet","Зараженных убито","Zabito zainfekowanych","Fertőzöttek megölve","Infetti uccisi","Infectados asesinados","Infectés tués","Infecteds killed","Infecteds killed","Infectados mortos","Infecteds killed",
"ORZ_STR_MENU_DISTANCE_TRAVELED","Distance traveled","Distance traveled","Ušel kilometrů","Zurückgelegte Strecke","Пройдено километров","Przebyty dystans","Megtehetett távolság","Distanza percorsa","Distancia recorrida","Distance parcourue","Distance traveled","Distance traveled","Distância percorrida","Distance traveled",
"ORZ_STR_MENU_TIME_ALIVE","Time alive","Time alive","Čas přežití","Zeit überlebt","Время жизни","Czas przeżycia","Életben töltött idő","Tempo di vita","Tiempo vivo","Temps vécu","Time alive","Time alive","Tempo vivo","Time alive",
"ORZ_LONGEST_PLAYER_HIT","Longest player hit","Longest player hit","Nejdelší zásah hráče","Längster Spielerhit","Самый длинный удар по игроку","Najdłuższe trafienie gracza","Leghosszabb játékos találat","Colpo più lungo al giocatore","Golpe más largo al jugador","Coup de joueur le plus long","Longest player hit","Longest player hit","Maior acerto de jogador","Longest player hit",
"ORZ_STR_MENU_PLAYER_STATISTICS","Player statistics","Player statistics","Statistiky hráče","Spielerstatistiken","Статистика игрока","Statystyki gracza","Játékos statisztika","Statistiche giocatore","Estadísticas del jugador","Statistiques du joueur","Player statistics","Player statistics","Estatísticas do jogador","Player statistics",
"ORZ_STR_TIMETOEXIT","TO EXIT","TO EXIT","K VÝSTUPU","ZUM BEENDEN","ВЫХОД","WYJŚCIE","KILÉPÉS","PER USCIRE","PARA SALIR","POUR QUITTER","TO EXIT","TO EXIT","PARA SAIR","TO EXIT",
"ORZ_STR_SHOWTUTORIAL","SHOW TUTORIAL","SHOW TUTORIAL","UKÁZAT NÁVOD","TUTORIAL ANZEIGEN","ПОКАЗАТЬ УЧЕБНИК","POKAŻ SAMOUCZEK","TUTORIAL MEGJELENÍTÉSE","MOSTRA TUTORIAL","MOSTRAR TUTORIAL","AFFICHER LE TUTORIEL","显示教程","チュートリアルを表示","MOSTRAR TUTORIAL","显示教程",
"ORZ_STR_LOADING_TEXT","LOADING GAME","LOADING GAME","NAČÍTÁNÍ HRY","SPIEL WIRD GELADEN","ЗАГРУЗКА ИГРЫ","ŁADOWANIE GRY","JÁTÉK BETÖLTÉSE","CARICAMENTO GIOCO","CARGANDO JUEGO","CHARGEMENT DU JEU","LOADING GAME","LOADING GAME","CARREGANDO JOGO","LOADING GAME",
